target,filename,path,cls,provenance,patched_still_faults
cjson_minify,crash-000d6c92139d9989d721affb674fbb5b3fae69c8,/Users/ebukaobi/Documents/NemesisForge/gen2/crashes/cjson_minify/crash-000d6c92139d9989d721affb674fbb5b3fae69c8,READ,fuzzer-found,0
cjson_minify,crash-01001da2865b6efc6264a86c2e32963de0e18e70,/Users/ebukaobi/Documents/NemesisForge/gen2/crashes/cjson_minify/crash-01001da2865b6efc6264a86c2e32963de0e18e70,READ,fuzzer-found,0
cjson_minify,crash-022c9fde327a109dd7bb6189b6e5bcf3b1105524,/Users/ebukaobi/Documents/NemesisForge/gen2/crashes/cjson_minify/crash-022c9fde327a109dd7bb6189b6e5bcf3b1105524,READ,fuzzer-found,0
cjson_minify,crash-03271ebf8058800f5593e96626a8b8d2600fc1c7,/Users/ebukaobi/Documents/NemesisForge/gen2/crashes/cjson_minify/crash-03271ebf8058800f5593e96626a8b8d2600fc1c7,READ,fuzzer-found,0
cjson_minify,crash-04ef68b88cf3c3ab34edec0dec4ccf24f9c5c12a,/Users/ebukaobi/Documents/NemesisForge/gen2/crashes/cjson_minify/crash-04ef68b88cf3c3ab34edec0dec4ccf24f9c5c12a,READ,fuzzer-found,0
cjson_minify,crash-06f9898301af2f437991f6b39f14bee3e9d05b9b,/Users/ebukaobi/Documents/NemesisForge/gen2/crashes/cjson_minify/crash-06f9898301af2f437991f6b39f14bee3e9d05b9b,READ,fuzzer-found,0
cjson_minify,crash-0851a034676da8214aea5c34c2da7d77092f4f8d,/Users/ebukaobi/Documents/NemesisForge/gen2/crashes/cjson_minify/crash-0851a034676da8214aea5c34c2da7d77092f4f8d,READ,fuzzer-found,0
cjson_minify,crash-098cce3304e5a37aa7ecddc715bf943c49a92020,/Users/ebukaobi/Documents/NemesisForge/gen2/crashes/cjson_minify/crash-098cce3304e5a37aa7ecddc715bf943c49a92020,READ,fuzzer-found,0
cjson_minify,crash-0ca10d0a3264bda460ad9daf0a8745e2999d96f5,/Users/ebukaobi/Documents/NemesisForge/gen2/crashes/cjson_minify/crash-0ca10d0a3264bda460ad9daf0a8745e2999d96f5,READ,fuzzer-found,0
cjson_minify,crash-0ee75e76c948a3155ce12222e3a72625a744a88a,/Users/ebukaobi/Documents/NemesisForge/gen2/crashes/cjson_minify/crash-0ee75e76c948a3155ce12222e3a72625a744a88a,READ,fuzzer-found,0
